brand,hotel,kg_co2_s
ADAGIO,Adagio  Edinburgh Royal Mile,0.000980011
IBIS,Ibis New  London Heathrow Airport,0.02335076
IBIS,Ibis New  London Euston Station - St Pancras ,0.032771392
IBIS,Ibis New  London Greenwich,0.012062094
IBIS,Ibis New  Southampton Centre,0.0052394
IBIS,Ibis New  London Luton Airport,0.010526141
IBIS,Ibis New  Birmingham New Street Station,0.014845099
IBIS,Ibis New  Portsmouth Centre,0.011454
IBIS,Ibis New  Edinburgh Centre Royal Mile - Hunte,0.007898514
IBIS,Ibis New  London Barking,0.005788997
IBIS,Ibis New  London Thurrock M25,0.010166763
IBIS,Ibis New  London Docklands Canary Wharf,0.006263248
IBIS,Ibis New  Cardiff,0.005993427
IBIS,Ibis New  London Stratford,0.003692506
IBIS,Ibis New  Glasgow City Centre - Sauchiehall S,0.009833821
IBIS,Ibis New  Liverpool Centre Albert Dock - Live,0.009133799
IBIS,Ibis New  London Wembley,0.012737362
IBIS,Ibis New  Manchester Centre Portland Street,0.006173587
IBIS,Ibis New  Manchester Centre Princess Street,0.006771181
IBIS,Ibis New  Chesterfield North  - Barlborough,0.00556378
IBIS,Ibis New  Bradford Shipley,0.003808704
IBIS,Ibis New  Cardiff Gate - International Busine,0.004606971
IBIS,Ibis New  Chesterfield Centre - Market Town,0.005465772
IBIS,Ibis New  Lincoln,0.004846781
IBIS,Ibis New  Preston North,0.004701532
IBIS,Ibis New  Rotherham East - (M18 / M1),0.004538387
IBIS,Ibis New  Wellingborough,0.004478268
IBIS,Ibis New  Carlisle City Centre,0.005386461
IBIS,Ibis New  Hull City Centre,0.007254234
IBIS,Ibis New  Rugby East,0.006488234
IBIS,Ibis New  Leeds Centre,0.009647768
IBIS,Ibis New  London Excel Docklands,0.008584011
IBIS,Ibis New  Northampton Centre,0.007745199
IBIS,Ibis New  London City - Shoreditch,0.017159052
IBIS,Ibis New  Aberdeen Centre - Entertainment Dis,0.006619714
IBIS,Ibis New  Reading Centre,0.007692324
IBIS,Ibis New  Bristol Center,0.010528576
IBIS,Ibis New  London Earls Court,0.056894472
IBIS,Ibis New  Nottingham Centre,0.008546998
IBIS,Ibis New  London Elstree Borehamwood,0.007125103
IBIS,Ibis  Birmingham Airport - Nec,0.009545308
IBIS,Ibis New  Brighton City Centre,0.007529124
IBIS,Ibis New  Bristol Temple Meads Quay,0.009141967
IBIS,Ibis New  Swansea,0.006153432
IBIS,Ibis New  London Shepherd's Bush - Hammersmit,0.00557976
IBIS,Ibis New  London Blackfriars,0.016822376
IBIS,Ibis New  Edinburgh Centre South Bridge - Roy,0.017850951
IBIS,Ibis New  Cambridge Central Station,0.0041635
IBIS BUDGET,Ibis Budget  London Barking,0.005367207
IBIS BUDGET,Ibis Budget  Glasgow,0.007016583
IBIS BUDGET,Ibis Budget  London City Airport,0.003442465
IBIS BUDGET,Ibis Budget  Birmingham Centre,0.009956562
IBIS BUDGET,Ibis Budget  Leeds Centre,0.007282267
IBIS BUDGET,Ibis Budget  Manchester Salford Quays,0.004502347
IBIS BUDGET,Ibis Budget  Cardiff Centre,0.005812098
IBIS BUDGET,Ibis Budget  Sheffield Arena,0.003684004
IBIS BUDGET,Ibis Budget  Southampton Centre,0.002740224
IBIS BUDGET,Etap Hotel  Birmingham Airport - Nec,0.006883882
